"# Program:featureCounts v1.5.1; Command:""featureCounts"" ""-p"" ""-T"" ""4"" ""-C"" ""-t"" ""transcript"" ""-g"" ""gene_name"" ""-a"""						
Geneid	Chr	Start	End	Strand	Length	F8
Gm16088	1	3054233	3054733	+	501	0
Gm26206	1	3102016	3102125	+	110	0
Xkr4	1;1;1	3205901;3206523;3214482	3216344;3215632;3671498	-;-;-	465598	0
Gm1992	1	3466587	3513553	+	46967	0
Gm22848	1	3783876	3783933	-	58	0
Rp1	1	4343507	4360314	-	16808	0
Sox17	1;1	4490928;4491713	4496413;4496363	-;-	5486	0
Gm22307	1	4529017	4529123	+	107	0
Gm6085	1	4687934	4689403	-	1470	0
Gm25493	1	4723277	4723379	-	103	0
Mrpl15	1;1;1;1;1;1	4773206;4773211;4774436;4776377;4781221;4783572	4785710;4785739;4785698;4785739;4785739;4785692	-;-;-;-;-;-	12534	0
Lypla1	1;1;1;1;1;1;1;1;1	4807788;4807823;4807892;4807896;4807898;4807911;4807918;4808237;4836905	4848410;4846739;4886770;4845174;4840969;4845352;4841286;4841093;4842827	+;+;+;+;+;+;+;+;+	78983	0
Tcea1	1;1	4857814;4858038	4897905;4897909	+;+	40096	0
Gm6104	1	4879202	4880669	-	1468	0
Rgs20	1;1;1;1;1;1;1	4909576;4909576;4910402;4910474;4912342;4922528;5062779	5070285;5019539;5018735;5019379;5070282;5019379;5070273	-;-;-;-;-;-;-	160710	0
Gm17100	1	4927028	4927299	-	272	0
Gm16041	1	4970857	4976820	+	5964	0
Gm17101	1	5063060	5064647	+	1588	0
Atp6v1h	1	5083173	5162549	+	79377	0
Oprk1	1;1;1;1	5588493;5588557;5588941;5596518	5606131;5602866;5604014;5603153	+;+;+;+	17639	0
Gm22463	1	5644645	5644745	-	101	0
Npbwr1	1	5913707	5917398	-	3692	0
Rb1cc1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	6206197;6206227;6214645;6214663;6215008;6228002;6234279;6240970;6249088;6249977;6250095;6260785;6262903;6262933;6265606;6270678	6234311;6238384;6276648;6230704;6234010;6249029;6275577;6248358;6274490;6251258;6265810;6262854;6264893;6274489;6272765;6275575	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	70452	0
4732440D04Rik	1;1	6213293;6214612	6214590;6215292	-;-	1979	0
Fam150a	1	6359331	6394731	+	35401	0
St18	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	6487231;6487331;6730051;6730053;6730070;6730101;6730102;6730143;6730176;6734870;6737575;6802791;6817600;6827897;6845568;6857341	6860934;6860940;6860940;6795425;6795550;6859470;6858813;6795404;6802448;6802688;6860940;6809365;6833598;6848984;6858492;6859604	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	373710	0
Pcmtd1	1;1;1;1;1;1;1;1	7088920;7088930;7089104;7089166;7147637;7154867;7160085;7160557	7173628;7169598;7160902;7172122;7170076;7163371;7172618;7172659	+;+;+;+;+;+;+;+	84709	0
Gm26983	1	7136199	7136586	-	388	0
Gm9826	1	7177739	7179037	+	1299	0
Gm23274	1	7265803	7265932	+	130	0
Gm26901	1	7349406	7397801	-	48396	0
Sntg1	1;1;1;1;1;1;1;1;1	8361475;8361475;8362678;8363183;8363425;8363475;8675973;8781531;8950572	9298573;9299238;9299878;8470520;8470479;8803943;9299282;9299509;9298236	-;-;-;-;-;-;-;-;-	938404	0
Gm16284	1	8468426	8468825	-	400	0
Gm23358	1	8588615	8588724	-	110	0
Gm15452	1	8791923	8792162	-	240	0
Gm24276	1	8816138	8816247	+	110	0
Gm6152	1	8855928	8856267	-	340	0
Gm7493	1	8962996	8963621	-	626	0
Gm24765	1	9458670	9458772	+	103	0
Rrs1	1	9545408	9547454	+	2047	0
Adhfe1	1;1;1	9547948;9548055;9548092	9577970;9576901;9553687	+;+;+	30023	0
2610203C22Rik	1;1;1;1;1	9560832;9563505;9600413;9601023;9603430	9631092;9631137;9631144;9631175;9631164	-;-;-;-;-	70344	0
Gm6161	1	9574548	9575649	+	1102	0
3110035E14Rik	1	9601199	9627143	+	25945	0
Mybl1	1;1;1;1	9667415;9669537;9676132;9678272	9700209;9700024;9678610;9683452	-;-;-;-	32795	0
Vcpip1	1	9718622	9748382	-	29761	0
1700034P13Rik	1;1	9747648;9748008	9791922;9791318	+;+	44275	0
Sgk3	1;1;1;1	9798130;9798130;9848281;9848397	9902556;9902556;9902556;9899855	+;+;+;+	104427	0
Gm6195	1	9802194	9802553	-	360	0
Gm22607	1	9834498	9834602	-	105	0
Mcmdc2	1;1;1;1;1;1	9908638;9908638;9908668;9908670;9911314;9932120	9922525;9940954;9940452;9942085;9921266;9940954	+;+;+;+;+;+	33448	0
Snhg6	1;1;1;1;1	9941959;9942023;9942025;9942025;9942025	9944118;9943223;9942897;9944103;9944117	-;-;-;-;-	2160	0
Snord87	1	9942463	9942549	-	87	0
Tcf24	1	9960163	9967932	-	7770	0
Gm10567	1	9960171	9962809	-	2639	0
Ppp1r42	1;1;1;1;1;1	9968624;9968624;9968624;9968825;9978816;9995063	10009136;10003453;9985692;10009130;10009130;10009130	-;-;-;-;-;-	40513	0
Gm15818	1	9982387	9992366	+	9980	0
Gm24674	1	10009814	10009917	-	104	0
Cops5	1;1;1	10024602;10030920;10033040	10038127;10037938;10035048	-;-;-	13526	0
